Edge Sequence,Genus,1st order gonality
"2,3,11,5",17,gonality: 5
"2,3,11,6",18,gonality: 5
"2,3,11,7",19,gonality: 5
"2,3,11,8",20,gonality: 5
"2,3,11,9",21,gonality: 5
"2,3,11,10",22,gonality: 5
"2,3,11,11",23,gonality: 5
"2,4,2,3",7,gonality: 4
"2,4,2,4",8,gonality: 4
"2,4,2,5",9,gonality: 5
"2,4,2,6",10,gonality: 5
"2,4,2,7",11,gonality: 5
"2,4,2,8",12,gonality: 5
"2,4,2,9",13,gonality: 5
"2,4,2,10",14,gonality: 5
"2,4,2,11",15,gonality: 5
"2,4,3,3",8,gonality: 4
"2,4,3,4",9,gonality: 5
"2,4,3,5",10,gonality: 5
"2,4,3,6",11,gonality: 5
"2,4,3,7",12,gonality: 5
"2,4,3,8",13,gonality: 5
"2,4,3,9",14,gonality: 5
"2,4,3,10",15,gonality: 5
"2,4,3,11",16,gonality: 5
"2,4,4,2",8,gonality: 4
"2,4,4,3",9,gonality: 4
"2,4,4,4",10,gonality: 4
"2,4,4,5",11,gonality: 5
"2,4,4,6",12,gonality: 5
"2,4,4,7",13,gonality: 5
"2,4,4,8",14,gonality: 5
"2,4,4,9",15,gonality: 5
"2,4,4,10",16,gonality: 5
"2,4,4,11",17,gonality: 5
"2,4,5,2",9,gonality: 5
"2,4,5,3",10,gonality: 5
"2,4,5,4",11,gonality: 5
"2,4,5,5",12,gonality: 5
"2,4,5,6",13,gonality: 5
"2,4,5,7",14,gonality: 5
"2,4,5,8",15,gonality: 5
"2,4,5,9",16,gonality: 5
"2,4,5,10",17,gonality: 5
"2,4,5,11",18,gonality: 5
"2,4,6,2",10,gonality: 5
"2,4,6,3",11,gonality: 5
"2,4,6,4",12,gonality: 5
"2,4,6,5",13,gonality: 5
"2,4,6,6",14,gonality: 5
"2,4,6,7",15,gonality: 5
"2,4,6,8",16,gonality: 5
"2,4,6,9",17,gonality: 5
"2,4,6,10",18,gonality: 5
"2,4,6,11",19,gonality: 5
"2,4,7,2",11,gonality: 5
"2,4,7,3",12,gonality: 5
"2,4,7,4",13,gonality: 5
"2,4,7,5",14,gonality: 5
"2,4,7,6",15,gonality: 5
"2,4,7,7",16,gonality: 5
"2,4,7,8",17,gonality: 5
"2,4,7,9",18,gonality: 5
"2,4,7,10",19,gonality: 5
"2,4,7,11",20,gonality: 5
"2,4,8,2",12,gonality: 5
"2,4,8,3",13,gonality: 5
"2,4,8,4",14,gonality: 5
"2,4,8,5",15,gonality: 5
"2,4,8,6",16,gonality: 5
"2,4,8,7",17,gonality: 5
"2,4,8,8",18,gonality: 5
"2,4,8,9",19,gonality: 5
"2,4,8,10",20,gonality: 5
"2,4,8,11",21,gonality: 5
"2,4,9,2",13,gonality: 5
"2,4,9,3",14,gonality: 5
"2,4,9,4",15,gonality: 5
"2,4,9,5",16,gonality: 5
"2,4,9,6",17,gonality: 5
"2,4,9,7",18,gonality: 5
"2,4,9,8",19,gonality: 5
"2,4,9,9",20,gonality: 5
"2,4,9,10",21,gonality: 5
"2,4,9,11",22,gonality: 5
"2,4,10,2",14,gonality: 5
"2,4,10,3",15,gonality: 5
"2,4,10,4",16,gonality: 5
"2,4,10,5",17,gonality: 5
"2,4,10,6",18,gonality: 5
